complex_id,B0_DockQ_AB,B0_DockQ_AC,B0_DockQ_BC,B0_DockQ_AbAg,B0_iRMSD_AB,B0_LRMSD_AB,B0_fnat_AB,B0_F1_AB,B0_iRMSD_AC,B0_fnat_AC,B0_confidence,B0_iptm,B0_fk_energy,B0_composite_score,B0_n_models,B0_n_settings,B1_DockQ_AB,B1_DockQ_AC,B1_DockQ_BC,B1_DockQ_AbAg,B1_iRMSD_AB,B1_LRMSD_AB,B1_fnat_AB,B1_F1_AB,B1_iRMSD_AC,B1_fnat_AC,B1_confidence,B1_iptm,B1_fk_energy,B1_composite_score,B1_n_models,B1_n_settings,B2_DockQ_AB,B2_DockQ_AC,B2_DockQ_BC,B2_DockQ_AbAg,B2_iRMSD_AB,B2_LRMSD_AB,B2_fnat_AB,B2_F1_AB,B2_iRMSD_AC,B2_fnat_AC,B2_confidence,B2_iptm,B2_fk_energy,B2_composite_score,B2_n_models,B2_n_settings,NF_V2_DockQ_AB,NF_V2_DockQ_AC,NF_V2_DockQ_BC,NF_V2_DockQ_AbAg,NF_V2_iRMSD_AB,NF_V2_LRMSD_AB,NF_V2_fnat_AB,NF_V2_F1_AB,NF_V2_iRMSD_AC,NF_V2_fnat_AC,NF_V2_confidence,NF_V2_iptm,NF_V2_fk_energy,NF_V2_composite_score,NF_V2_n_models,NF_V2_n_settings
7TRH_HBG,0.6819,0.5593,0.6975,0.6206,1.1182,5.2615,0.6800,0.7234,1.4495,0.5217,0.9039,0.8534,,,5,1,0.7701,0.7753,0.6901,0.7727,1.0395,3.5048,0.7800,0.7959,1.1249,0.8261,0.8892,0.7854,,,80.0000,16.0000,0.6549,0.5884,0.7000,0.6216,1.2162,5.0220,0.6200,0.7045,1.4378,0.5652,0.9124,0.8921,,,15.0000,3.0000,0.5339,0.8414,0.5861,0.6877,2.0195,1.5885,0.2800,0.3011,1.0903,0.9130,0.9230,0.8848,0.0008,0.5793,5.0000,1.0000
7TRI_ZYB,0.1217,0.0338,0.5921,0.0777,8.7665,21.0657,0.1967,0.2069,9.0605,0.0000,0.8791,0.6488,,,5,1,0.4397,0.6760,0.5991,0.5579,2.2094,7.0300,0.4098,0.4310,1.7407,0.7778,0.9140,0.8104,,,70.0000,14.0000,0.1092,0.0273,0.6011,0.0683,8.9747,20.0040,0.1475,0.1667,9.8157,0.0000,0.8709,0.6227,,,5.0000,1.0000,0.2286,0.3230,0.6194,0.2758,4.2618,13.6132,0.2951,0.3396,3.9995,0.6667,0.8465,0.5385,0.0017,0.3572,5.0000,1.0000
7WT9_HAE,0.6739,0.5797,0.6152,0.6268,1.9792,1.9817,0.7083,0.5913,1.5049,0.3462,0.9073,0.7461,,,5,1,0.6764,0.5838,0.6157,0.6301,2.0174,2.0690,0.7292,0.6087,1.4599,0.3462,0.9033,0.7145,,,55.0000,11.0000,0.6748,0.5921,0.6269,0.6334,1.9608,2.0141,0.7083,0.5965,1.4666,0.3462,0.8656,0.5335,,,10.0000,2.0000,0.6458,0.5999,0.6201,0.6228,2.1793,2.7123,0.7083,0.5913,1.2997,0.3077,0.8948,0.6782,0.0017,0.4931,5.0000,1.0000
7Y0O_HLA,0.5546,0.4606,0.6775,0.5076,2.0808,3.9560,0.5000,0.5185,1.9228,0.3913,0.8262,0.5060,,,5,1,0.5570,0.4839,0.6846,0.5204,2.0506,4.2698,0.5238,0.5057,1.8677,0.3478,0.8619,0.6272,,,30.0000,6.0000,,,,,,,,,,,,,,,,,0.5370,0.3878,0.6610,0.4624,2.1432,4.1694,0.4762,0.5333,2.2787,0.3478,0.8637,0.6759,0.0010,0.3050,5.0000,1.0000
7ZOZ_HLA,0.6184,0.6705,0.6492,0.6444,1.3772,2.9657,0.4211,0.4706,1.3196,0.6000,0.9179,0.8829,,,5,1,0.6457,0.7359,0.6454,0.6908,1.3975,2.3656,0.4737,0.5373,1.1935,0.7000,0.9115,0.8789,,,60.0000,12.0000,0.6186,0.6700,0.6492,0.6443,1.3753,2.9675,0.4211,0.4706,1.3211,0.6000,0.9210,0.8900,,,10.0000,2.0000,0.5950,0.6030,0.6338,0.5990,1.5678,4.1574,0.5000,0.5278,1.5144,0.5500,0.8717,0.6843,0.0002,0.3142,5.0000,1.0000
8BLQ_ABD,0.7426,0.5987,0.6244,0.6706,1.2204,3.5962,0.7778,0.7368,1.9172,0.6000,0.9396,0.9396,,,5,1,0.7436,0.6004,0.6245,0.6720,1.2200,3.5533,0.7778,0.7368,1.9019,0.6000,0.9397,0.9393,,,25.0000,5.0000,0.7393,0.5837,0.6246,0.6615,1.2265,3.6999,0.7778,0.7527,1.9101,0.5500,0.9393,0.9383,,,5.0000,1.0000,0.7048,0.5739,0.6235,0.6394,1.2660,3.3762,0.6667,0.6667,1.6986,0.4500,0.9402,0.9271,0.0008,0.3599,5.0000,1.0000
8BLQ_ECD,0.0508,0.0457,0.7115,0.0483,9.1667,22.3571,0.0000,0.0000,12.3361,0.0000,0.8604,0.6500,,,5,1,0.6844,0.6978,0.7356,0.6911,1.9262,3.4657,0.8182,0.7826,1.1799,0.6136,0.9193,0.8337,,,65.0000,13.0000,0.0507,0.0456,0.7181,0.0482,9.1648,22.3861,0.0000,0.0000,12.3545,0.0000,0.8685,0.7042,,,10.0000,2.0000,0.0517,0.0499,0.6548,0.0508,8.9624,22.1855,0.0000,0.0000,10.1209,0.0000,0.8273,0.6098,0.0003,0.5229,5.0000,1.0000
8BYU_HLA,0.0464,0.0902,0.5527,0.0683,10.7997,37.5273,0.0714,0.0899,7.7097,0.0833,0.8119,0.4590,,,5,1,0.2068,0.3428,0.5706,0.2748,3.6524,12.0242,0.1429,0.1798,2.9408,0.5000,0.8212,0.4958,,,85.0000,17.0000,0.0550,0.1945,0.5131,0.1248,10.0381,35.5862,0.0893,0.0962,6.4194,0.3333,0.8216,0.5136,,,5.0000,1.0000,0.0339,0.1043,0.4482,0.0691,11.2097,31.8774,0.0179,0.0183,7.7709,0.0833,0.8060,0.4444,0.0011,0.2723,5.0000,1.0000
8CDD_EDB,0.7656,0.7073,0.7171,0.7364,1.2395,1.6349,0.7381,0.7949,1.5547,0.6786,0.8413,0.4823,,,5,1,0.7991,0.7366,0.7134,0.7678,1.1393,2.3366,0.8333,0.8861,1.3508,0.7143,0.8464,0.5095,,,75.0000,15.0000,0.7940,0.6733,0.7178,0.7336,1.1936,1.7301,0.8095,0.8718,1.6114,0.6071,0.8655,0.6096,,,5.0000,1.0000,,,,,,,,,,,,,,,,
8CDE_DCB,0.7550,0.7336,0.7339,0.7443,1.3385,1.6374,0.7442,0.8000,1.0848,0.5806,0.8658,0.6017,,,5,1,0.7756,0.7543,0.7323,0.7649,1.2718,1.2899,0.7674,0.8148,1.0752,0.6452,0.8762,0.6306,,,90.0000,18.0000,0.7555,0.7340,0.7337,0.7448,1.3339,1.6420,0.7442,0.8000,1.0878,0.5806,0.8626,0.5831,,,15.0000,3.0000,0.7517,0.7003,0.7209,0.7260,1.3223,1.4536,0.7209,0.7654,1.2226,0.5806,0.8600,0.5846,0.0002,0.5544,5.0000,1.0000
