complex_id,B0_DockQ_AB,B0_DockQ_AC,B0_DockQ_BC,B0_DockQ_AbAg,B0_iRMSD_AB,B0_LRMSD_AB,B0_fnat_AB,B0_F1_AB,B0_iRMSD_AC,B0_fnat_AC,B0_confidence,B0_iptm,B0_fk_energy,B0_composite_score,B0_n_models,B0_n_settings,B1_DockQ_AB,B1_DockQ_AC,B1_DockQ_BC,B1_DockQ_AbAg,B1_iRMSD_AB,B1_LRMSD_AB,B1_fnat_AB,B1_F1_AB,B1_iRMSD_AC,B1_fnat_AC,B1_confidence,B1_iptm,B1_fk_energy,B1_composite_score,B1_n_models,B1_n_settings,B2_DockQ_AB,B2_DockQ_AC,B2_DockQ_BC,B2_DockQ_AbAg,B2_iRMSD_AB,B2_LRMSD_AB,B2_fnat_AB,B2_F1_AB,B2_iRMSD_AC,B2_fnat_AC,B2_confidence,B2_iptm,B2_fk_energy,B2_composite_score,B2_n_models,B2_n_settings,NF_V2_DockQ_AB,NF_V2_DockQ_AC,NF_V2_DockQ_BC,NF_V2_DockQ_AbAg,NF_V2_iRMSD_AB,NF_V2_LRMSD_AB,NF_V2_fnat_AB,NF_V2_F1_AB,NF_V2_iRMSD_AC,NF_V2_fnat_AC,NF_V2_confidence,NF_V2_iptm,NF_V2_fk_energy,NF_V2_composite_score,NF_V2_n_models,NF_V2_n_settings
7TRH_HBG,0.4325,0.5416,0.6008,0.4870,2.2224,7.1670,0.4000,0.3846,1.5525,0.5652,0.9254,0.9018,,,5,1,0.4293,0.5546,0.6023,0.4919,2.2403,7.2570,0.4000,0.3774,1.5578,0.6087,0.9299,0.9076,,,80.0000,16.0000,0.4375,0.5465,0.6013,0.4920,2.1839,7.0555,0.4000,0.3922,1.5409,0.5652,0.9267,0.9034,,,15.0000,3.0000,0.5339,0.8414,0.5861,0.6877,2.0195,1.5885,0.2800,0.3011,1.0903,0.9130,0.9230,0.8848,0.0008,0.5793,5.0000,1.0000
7TRI_ZYB,0.0978,0.0285,0.6263,0.0632,9.2450,21.3581,0.1311,0.1441,10.0985,0.0000,0.8854,0.6652,,,5,1,0.3750,0.6037,0.5964,0.4893,2.2712,8.0677,0.2951,0.3051,1.4367,0.6667,0.9223,0.8448,,,70.0000,14.0000,0.1074,0.0244,0.5925,0.0659,8.9857,19.1946,0.1311,0.1416,10.2664,0.0000,0.9109,0.7651,,,5.0000,1.0000,0.1304,0.0181,0.5876,0.0743,9.1653,18.8877,0.1967,0.2105,11.5148,0.0000,0.8717,0.6269,0.0021,0.3144,5.0000,1.0000
7WT9_HAE,0.6527,0.5904,0.6056,0.6216,2.0814,2.3527,0.6875,0.5690,1.5293,0.3462,0.9195,0.7911,,,5,1,0.6471,0.5877,0.6230,0.6174,2.0582,2.3728,0.6667,0.5664,1.5444,0.3462,0.9378,0.8804,,,55.0000,11.0000,0.6533,0.5896,0.6112,0.6214,2.0762,2.3418,0.6875,0.5641,1.5364,0.3462,0.9259,0.8198,,,10.0000,2.0000,0.6553,0.5779,0.6284,0.6166,2.0340,2.0103,0.6667,0.5766,1.4978,0.3077,0.8980,0.6865,0.0014,0.6388,5.0000,1.0000
7Y0O_HLA,0.0071,0.0090,0.7099,0.0080,17.4733,71.6996,0.0000,0.0000,13.0526,0.0000,0.8998,0.8720,,,5,1,0.4584,0.3436,0.6684,0.4010,2.9188,5.0680,0.4286,0.4286,2.5839,0.4348,0.9173,0.8722,,,30.0000,6.0000,,,,,,,,,,,,,,,,,0.0070,0.0089,0.6749,0.0079,17.5943,71.8801,0.0000,0.0000,13.1211,0.0000,0.8771,0.7781,0.0006,0.4883,5.0000,1.0000
7ZOZ_HLA,0.6184,0.6705,0.6492,0.6444,1.3772,2.9657,0.4211,0.4706,1.3196,0.6000,0.9179,0.8829,,,5,1,0.6124,0.6738,0.6488,0.6431,1.3713,2.8710,0.3947,0.4478,1.3088,0.6000,0.9210,0.8896,,,60.0000,12.0000,0.6186,0.6700,0.6492,0.6443,1.3753,2.9675,0.4211,0.4706,1.3211,0.6000,0.9210,0.8900,,,10.0000,2.0000,0.5950,0.6030,0.6338,0.5990,1.5678,4.1574,0.5000,0.5278,1.5144,0.5500,0.8717,0.6843,0.0002,0.3142,5.0000,1.0000
8BLQ_ABD,0.6759,0.6425,0.6230,0.6592,1.3562,3.4951,0.6222,0.6588,1.6597,0.6500,0.9451,0.9596,,,5,1,0.6847,0.6429,0.6227,0.6638,1.3539,3.4490,0.6444,0.6744,1.6617,0.6500,0.9450,0.9614,,,25.0000,5.0000,0.6654,0.6419,0.6230,0.6537,1.3707,3.5534,0.6000,0.6279,1.6584,0.6500,0.9450,0.9587,,,5.0000,1.0000,0.6439,0.5748,0.6359,0.6093,1.5787,3.7780,0.6222,0.6747,1.9466,0.5500,0.9430,0.9549,0.0006,0.5122,5.0000,1.0000
8BLQ_ECD,0.0483,0.0430,0.7196,0.0457,9.1802,23.1390,0.0000,0.0000,12.4511,0.0000,0.8712,0.6787,,,5,1,0.5713,0.5273,0.7340,0.5493,2.5767,5.1231,0.7273,0.6957,2.0489,0.5000,0.9354,0.8905,,,65.0000,13.0000,0.0496,0.0440,0.7165,0.0468,8.7267,23.0184,0.0000,0.0000,12.3308,0.0000,0.8958,0.8578,,,10.0000,2.0000,0.0448,0.0386,0.7282,0.0417,8.7846,24.6752,0.0000,0.0000,12.9332,0.0000,0.9186,0.9048,0.0002,0.6412,5.0000,1.0000
8BYU_HLA,0.0789,0.0138,0.5206,0.0464,11.0254,19.1273,0.0536,0.0645,15.3248,0.0000,0.8903,0.8678,,,5,1,0.0208,0.0564,0.6105,0.0386,11.9931,49.0991,0.0179,0.0189,7.0693,0.0833,0.9212,0.8650,,,85.0000,17.0000,0.0172,0.0619,0.4364,0.0396,12.1237,43.6368,0.0000,0.0000,7.6759,0.0833,0.8658,0.7436,,,5.0000,1.0000,0.0072,0.0094,0.5446,0.0083,20.1654,66.5055,0.0000,0.0000,13.0893,0.0000,0.8123,0.4725,0.0005,0.4957,5.0000,1.0000
8CDD_EDB,0.7558,0.7002,0.7032,0.7280,1.2444,2.2039,0.7381,0.8158,1.5392,0.6786,0.8700,0.6246,,,5,1,0.7650,0.7157,0.7146,0.7404,1.2051,1.9648,0.7381,0.8158,1.4400,0.6786,0.9016,0.7543,,,75.0000,15.0000,0.7560,0.7000,0.7027,0.7280,1.2422,2.2108,0.7381,0.8158,1.5402,0.6786,0.8792,0.6664,,,5.0000,1.0000,,,,,,,,,,,,,,,,
8CDE_DCB,0.7550,0.7336,0.7339,0.7443,1.3385,1.6374,0.7442,0.8000,1.0848,0.5806,0.8658,0.6017,,,5,1,0.3425,0.1714,0.7315,0.2570,4.0194,8.7286,0.4186,0.4737,4.6088,0.1290,0.9171,0.8336,,,90.0000,18.0000,0.3194,0.1616,0.7305,0.2405,4.1559,9.0122,0.3721,0.4444,4.9204,0.1290,0.8848,0.7248,,,15.0000,3.0000,0.7517,0.7003,0.7209,0.7260,1.3223,1.4536,0.7209,0.7654,1.2226,0.5806,0.8600,0.5846,0.0002,0.5544,5.0000,1.0000
8CXC_HLM,0.0035,0.0106,0.6341,0.0070,33.9035,92.2877,0.0000,0.0000,23.4806,0.0000,0.8800,0.6669,,,5,1,0.0040,0.0101,0.6297,0.0071,30.4151,85.8774,0.0000,0.0000,22.2942,0.0000,0.9298,0.8762,,,60.0000,12.0000,0.0045,0.0083,0.6196,0.0064,28.9788,81.6891,0.0000,0.0000,24.7048,0.0000,0.8941,0.6885,,,20.0000,4.0000,0.0044,0.0090,0.6039,0.0067,29.3529,82.2302,0.0000,0.0000,23.8246,0.0000,0.8863,0.6959,0.0014,0.4112,5.0000,1.0000
8CYH_HLM,0.0034,0.0046,0.6819,0.0040,33.5436,93.8674,0.0000,0.0000,26.5242,0.0000,0.9137,0.8452,,,5,1,0.0791,0.0189,0.6449,0.0490,8.8584,24.5874,0.1026,0.1231,9.3637,0.0000,0.9250,0.9225,,,45.0000,9.0000,0.0034,0.0046,0.6818,0.0040,33.4787,93.4844,0.0000,0.0000,26.5564,0.0000,0.9206,0.8670,,,10.0000,2.0000,0.0030,0.0082,0.6664,0.0056,34.7039,99.4497,0.0000,0.0000,23.9431,0.0000,0.9320,0.8702,0.0002,0.6556,5.0000,1.0000
8DE3_BCA,0.6629,0.6080,0.7689,0.6355,1.9488,2.1258,0.6757,0.6410,1.5216,0.4500,0.9215,0.9033,,,5,1,0.6566,0.6217,0.7716,0.6391,1.9132,2.1410,0.6486,0.6076,1.5417,0.5000,0.9276,0.9288,,,45.0000,9.0000,0.6634,0.6098,0.7688,0.6366,1.9525,2.0836,0.6757,0.6410,1.5146,0.4500,0.9254,0.9180,,,5.0000,1.0000,,,,,,,,,,,,,,,,
8DTK_CBA,0.0115,0.0101,0.5691,0.0108,15.2383,53.3410,0.0000,0.0000,14.4962,0.0000,0.8625,0.6851,,,5,1,0.7080,0.6626,0.7406,0.6853,1.5000,2.4906,0.7031,0.7377,1.4662,0.6250,0.9227,0.8866,,,40.0000,8.0000,,,,,,,,,,,,,,,,,0.0101,0.0089,0.7285,0.0095,14.2696,60.6885,0.0000,0.0000,14.0504,0.0000,0.8792,0.8069,0.0010,0.5071,5.0000,1.0000
8E2U_HLA,0.0053,0.0110,0.6006,0.0082,22.5184,78.5858,0.0000,0.0000,15.8086,0.0000,0.8683,0.8798,,,5,1,0.6596,0.6350,0.6478,0.6473,1.4255,2.6583,0.5424,0.5818,1.6765,0.6400,0.8769,0.8437,,,85.0000,17.0000,0.0053,0.0106,0.6019,0.0080,22.2875,78.7173,0.0000,0.0000,15.4659,0.0000,0.8678,0.8726,,,30.0000,6.0000,,,,,,,,,,,,,,,,
8EAY_HLA,0.5389,0.4827,0.7394,0.5108,1.9734,3.8213,0.4186,0.4444,3.0222,0.4186,0.9133,0.9234,,,5,1,0.5574,0.4996,0.7426,0.5285,2.0173,3.8775,0.4884,0.5122,3.0927,0.4419,0.9215,0.9419,,,85.0000,17.0000,0.5372,0.4818,0.7397,0.5095,1.9777,3.8772,0.4186,0.4444,3.0234,0.4186,0.9136,0.9210,,,5.0000,1.0000,,,,,,,,,,,,,,,,
8EZ3_HLA,0.0182,0.0210,0.6096,0.0196,13.0041,40.7938,0.0000,0.0000,10.4864,0.0000,0.8640,0.5567,,,5,1,0.0354,0.0313,0.6907,0.0333,13.7564,29.0677,0.0156,0.0175,9.7829,0.0000,0.9247,0.8438,,,95.0000,19.0000,0.0130,0.0129,0.6418,0.0130,15.1233,48.8710,0.0000,0.0000,12.0530,0.0000,0.9163,0.8080,,,25.0000,5.0000,,,,,,,,,,,,,,,,
